date	operator
12-Aug-16	1
13-Aug-16	1
14-Aug-16	1
15-Aug-16	1
16-Aug-16	1
17-Aug-16	1
18-Aug-16	1
19-Aug-16	2
20-Aug-16	2
21-Aug-16	2
22-Aug-16	3
23-Aug-16	3
24-Aug-16	3
25-Aug-16	3
26-Aug-16	3
27-Aug-16	3
28-Aug-16	3
29-Aug-16	3
30-Aug-16	3
31-Aug-16	3
01-Sep-16	3
02-Sep-16	3
03-Sep-16	3
04-Sep-16	3
05-Sep-16	3
06-Sep-16	3
07-Sep-16	3
08-Sep-16	3
09-Sep-16	3
10-Sep-16	3
11-Sep-16	3
12-Sep-16	3
13-Sep-16	3
14-Sep-16	3
15-Sep-16	3
16-Sep-16	3
17-Sep-16	3
18-Sep-16	3
19-Sep-16	4
20-Sep-16	4
21-Sep-16	4
22-Sep-16	4
23-Sep-16	4
24-Sep-16	4
25-Sep-16	4
26-Sep-16	4
27-Sep-16	4
28-Sep-16	4
29-Sep-16	5
30-Sep-16	5
01-Oct-16	5
02-Oct-16	5
03-Oct-16	5
04-Oct-16	5
05-Oct-16	5
06-Oct-16	5
07-Oct-16	5
08-Oct-16	5
09-Oct-16	5
10-Oct-16	5
11-Oct-16	5
12-Oct-16	5
13-Oct-16	5
14-Oct-16	5
15-Oct-16	5
16-Oct-16	5
17-Oct-16	5
18-Oct-16	5
19-Oct-16	5
20-Oct-16	6
21-Oct-16	6
22-Oct-16	6
23-Oct-16	6
24-Oct-16	6
25-Oct-16	6
26-Oct-16	6
27-Oct-16	6
28-Oct-16	6
29-Oct-16	4
30-Oct-16	5
31-Oct-16	5
01-Nov-16	5
02-Nov-16	5
03-Nov-16	5
04-Nov-16	7
05-Nov-16	6
06-Nov-16	7
07-Nov-16	7
08-Nov-16	5
09-Nov-16	6
10-Nov-16	6
11-Nov-16	6
12-Nov-16	6
13-Nov-16	6
14-Nov-16	6
15-Nov-16	6
16-Nov-16	6
17-Nov-16	6
18-Nov-16	6
19-Nov-16	6
20-Nov-16	6
21-Nov-16	6
22-Nov-16	6
23-Nov-16	6
24-Nov-16	6
25-Nov-16	7
26-Nov-16	7
27-Nov-16	8
28-Nov-16	8
29-Nov-16	8
30-Nov-16	8
01-Dec-16	8
02-Dec-16	8
03-Dec-16	8
04-Dec-16	8
05-Dec-16	8
06-Dec-16	7
07-Dec-16	8
08-Dec-16	8
09-Dec-16	8
10-Dec-16	8
11-Dec-16	8
12-Dec-16	8
13-Dec-16	8
14-Dec-16	8
15-Dec-16	8
16-Dec-16	6
17-Dec-16	7
18-Dec-16	7
19-Dec-16	7
20-Dec-16	7
21-Dec-16	7
22-Dec-16	7
23-Dec-16	7
24-Dec-16	7
25-Dec-16	7
26-Dec-16	7
27-Dec-16	7
28-Dec-16	7
29-Dec-16	7
30-Dec-16	7
31-Dec-16	7
01-Jan-17	7
02-Jan-17	7
03-Jan-17	7
04-Jan-17	7
05-Jan-17	7
06-Jan-17	5
07-Jan-17	6
08-Jan-17	6
09-Jan-17	6
10-Jan-17	6
11-Jan-17	6
12-Jan-17	6
13-Jan-17	6
14-Jan-17	6
15-Jan-17	6
16-Jan-17	6
17-Jan-17	6
18-Jan-17	6
19-Jan-17	6
20-Jan-17	6
21-Jan-17	3
22-Jan-17	4
23-Jan-17	2
24-Jan-17	3
25-Jan-17	3
26-Jan-17	3
27-Jan-17	3
28-Jan-17	3
29-Jan-17	3
30-Jan-17	3
31-Jan-17	3
01-Feb-17	3
02-Feb-17	3
03-Feb-17	3
04-Feb-17	3
05-Feb-17	3
06-Feb-17	3
07-Feb-17	3
08-Feb-17	3
09-Feb-17	3
10-Feb-17	3
11-Feb-17	2
12-Feb-17	2
13-Feb-17	0
14-Feb-17	1
15-Feb-17	1
16-Feb-17	1
17-Feb-17	1
18-Feb-17	1
19-Feb-17	1
20-Feb-17	1
21-Feb-17	1
22-Feb-17	0
