date	operator
09-Sep-16	1
10-Sep-16	1
11-Sep-16	1
12-Sep-16	1
13-Sep-16	1
14-Sep-16	1
15-Sep-16	1
16-Sep-16	1
17-Sep-16	2
18-Sep-16	2
19-Sep-16	2
20-Sep-16	2
21-Sep-16	2
22-Sep-16	2
23-Sep-16	3
24-Sep-16	3
25-Sep-16	3
26-Sep-16	3
27-Sep-16	3
28-Sep-16	3
29-Sep-16	3
30-Sep-16	3
01-Oct-16	3
02-Oct-16	3
03-Oct-16	3
04-Oct-16	3
05-Oct-16	3
06-Oct-16	3
07-Oct-16	2
08-Oct-16	3
09-Oct-16	3
10-Oct-16	3
11-Oct-16	3
12-Oct-16	3
13-Oct-16	3
14-Oct-16	3
15-Oct-16	1
16-Oct-16	2
17-Oct-16	2
18-Oct-16	2
19-Oct-16	2
20-Oct-16	2
21-Oct-16	1
22-Oct-16	1
23-Oct-16	1
24-Oct-16	1
25-Oct-16	1
26-Oct-16	1
27-Oct-16	1
28-Oct-16	1
29-Oct-16	1
30-Oct-16	1
31-Oct-16	1
01-Nov-16	1
02-Nov-16	1
03-Nov-16	1
04-Nov-16	0
03-Dec-16	1
04-Dec-16	1
05-Dec-16	1
06-Dec-16	1
07-Dec-16	1
08-Dec-16	1
09-Dec-16	1
10-Dec-16	1
11-Dec-16	1
12-Dec-16	1
13-Dec-16	1
14-Dec-16	1
15-Dec-16	1
16-Dec-16	1
17-Dec-16	1
18-Dec-16	1
19-Dec-16	1
20-Dec-16	1
21-Dec-16	1
22-Dec-16	1
23-Dec-16	1
24-Dec-16	1
25-Dec-16	1
26-Dec-16	1
27-Dec-16	1
28-Dec-16	1
29-Dec-16	1
30-Dec-16	1
31-Dec-16	0
01-Jan-17	1
02-Jan-17	1
03-Jan-17	1
04-Jan-17	1
05-Jan-17	1
06-Jan-17	1
07-Jan-17	1
08-Jan-17	1
09-Jan-17	1
10-Jan-17	1
11-Jan-17	1
12-Jan-17	1
13-Jan-17	1
14-Jan-17	1
15-Jan-17	1
16-Jan-17	1
17-Jan-17	1
18-Jan-17	1
19-Jan-17	1
20-Jan-17	1
21-Jan-17	1
22-Jan-17	1
23-Jan-17	1
24-Jan-17	1
25-Jan-17	1
26-Jan-17	1
27-Jan-17	1
28-Jan-17	1
29-Jan-17	0
