date	operator
12-Aug-16	1
13-Aug-16	1
14-Aug-16	1
15-Aug-16	1
16-Aug-16	1
17-Aug-16	1
18-Aug-16	1
19-Aug-16	1
20-Aug-16	1
21-Aug-16	1
22-Aug-16	1
23-Aug-16	1
24-Aug-16	1
25-Aug-16	1
26-Aug-16	1
27-Aug-16	1
28-Aug-16	1
29-Aug-16	1
30-Aug-16	1
31-Aug-16	1
01-Sep-16	1
02-Sep-16	1
03-Sep-16	1
04-Sep-16	1
05-Sep-16	2
06-Sep-16	2
07-Sep-16	2
08-Sep-16	2
09-Sep-16	2
10-Sep-16	2
11-Sep-16	2
12-Sep-16	2
13-Sep-16	2
14-Sep-16	2
15-Sep-16	2
16-Sep-16	2
17-Sep-16	2
18-Sep-16	2
19-Sep-16	2
20-Sep-16	2
21-Sep-16	2
22-Sep-16	2
23-Sep-16	2
24-Sep-16	2
25-Sep-16	2
26-Sep-16	2
27-Sep-16	2
28-Sep-16	2
29-Sep-16	2
30-Sep-16	2
01-Oct-16	2
02-Oct-16	2
03-Oct-16	2
04-Oct-16	2
05-Oct-16	3
06-Oct-16	3
07-Oct-16	3
08-Oct-16	3
09-Oct-16	3
10-Oct-16	3
11-Oct-16	3
12-Oct-16	3
13-Oct-16	3
14-Oct-16	3
15-Oct-16	3
16-Oct-16	3
17-Oct-16	3
18-Oct-16	3
19-Oct-16	2
20-Oct-16	2
21-Oct-16	2
22-Oct-16	2
23-Oct-16	2
24-Oct-16	2
25-Oct-16	2
26-Oct-16	2
27-Oct-16	2
28-Oct-16	2
29-Oct-16	2
30-Oct-16	2
31-Oct-16	2
01-Nov-16	3
02-Nov-16	3
03-Nov-16	3
04-Nov-16	3
05-Nov-16	3
06-Nov-16	3
07-Nov-16	3
08-Nov-16	3
09-Nov-16	3
10-Nov-16	3
11-Nov-16	3
12-Nov-16	1
13-Nov-16	2
14-Nov-16	2
15-Nov-16	2
16-Nov-16	2
17-Nov-16	2
18-Nov-16	2
19-Nov-16	2
20-Nov-16	2
21-Nov-16	2
22-Nov-16	2
23-Nov-16	2
24-Nov-16	2
25-Nov-16	2
26-Nov-16	2
27-Nov-16	2
28-Nov-16	2
29-Nov-16	2
30-Nov-16	2
01-Dec-16	2
02-Dec-16	2
03-Dec-16	2
04-Dec-16	2
05-Dec-16	2
06-Dec-16	2
07-Dec-16	2
08-Dec-16	2
09-Dec-16	2
10-Dec-16	2
11-Dec-16	2
12-Dec-16	0
13-Dec-16	1
14-Dec-16	1
15-Dec-16	1
16-Dec-16	1
17-Dec-16	1
18-Dec-16	1
19-Dec-16	1
20-Dec-16	1
21-Dec-16	2
22-Dec-16	2
23-Dec-16	2
24-Dec-16	2
25-Dec-16	2
26-Dec-16	2
27-Dec-16	2
28-Dec-16	2
29-Dec-16	2
30-Dec-16	2
31-Dec-16	2
01-Jan-17	3
02-Jan-17	3
03-Jan-17	3
04-Jan-17	3
05-Jan-17	3
06-Jan-17	3
07-Jan-17	3
08-Jan-17	1
09-Jan-17	2
10-Jan-17	2
11-Jan-17	2
12-Jan-17	2
13-Jan-17	2
14-Jan-17	2
15-Jan-17	2
16-Jan-17	2
17-Jan-17	2
18-Jan-17	2
19-Jan-17	2
20-Jan-17	2
21-Jan-17	2
22-Jan-17	2
23-Jan-17	2
24-Jan-17	2
25-Jan-17	2
26-Jan-17	2
27-Jan-17	2
28-Jan-17	2
29-Jan-17	2
30-Jan-17	2
31-Jan-17	2
01-Feb-17	2
02-Feb-17	2
03-Feb-17	2
04-Feb-17	2
05-Feb-17	2
06-Feb-17	2
07-Feb-17	2
08-Feb-17	2
09-Feb-17	2
10-Feb-17	2
11-Feb-17	2
12-Feb-17	2
13-Feb-17	2
14-Feb-17	2
15-Feb-17	2
16-Feb-17	2
17-Feb-17	2
18-Feb-17	2
19-Feb-17	2
20-Feb-17	2
21-Feb-17	2
22-Feb-17	2
23-Feb-17	2
24-Feb-17	2
25-Feb-17	2
26-Feb-17	2
27-Feb-17	0
28-Feb-17	1
01-Mar-17	1
02-Mar-17	1
03-Mar-17	1
04-Mar-17	1
05-Mar-17	1
06-Mar-17	1
07-Mar-17	1
08-Mar-17	1
09-Mar-17	1
10-Mar-17	0
